iso3,year,games_type,gold,silver,bronze,total_medals,has_medal,country,population,gdp_current_usd,gdp_per_capita,life_expectancy,adult_literacy_rate,unemployment_rate
NGA,2022,Winter,0.0,0.0,0.0,0.0,0,Niger,25311973.0,15433852714.4935,609.745147661683,60.398,35.6100006103516,0.418
NGA,2022,Winter,0.0,0.0,0.0,0.0,0,Nigeria,223150896.0,477403400101.174,2139.37478476974,54.079,35.6100006103516,3.821
MKD,2022,Winter,0.0,0.0,0.0,0.0,0,North Macedonia,1831712.0,13932436550.0883,7606.2375253797,74.4248780487805,,14.476
PHL,2022,Winter,0.0,0.0,0.0,0.0,0,Philippines,113964338.0,404353369604.631,3548.06930572116,69.472,,2.598
PRT,2022,Winter,0.0,0.0,0.0,0.0,0,Portugal,10434332.0,256898675068.927,24620.519556875,81.6317073170732,,6.011
PRI,2022,Winter,0.0,0.0,0.0,0.0,0,,,,,,,
QAT,2022,Winter,0.0,0.0,0.0,0.0,0,Qatar,2657333.0,235709325714.286,88701.463352273,81.857,,0.13
ROU,2022,Winter,0.0,0.0,0.0,0.0,0,Romania,19048502.0,296354358293.475,15557.8826247584,75.1536585365854,,5.614
SMR,2022,Winter,0.0,0.0,0.0,0.0,0,San Marino,33755.0,1831700577.08904,54264.570495898,85.708,99.9100036621094,
SAU,2022,Winter,0.0,0.0,0.0,0.0,0,Saudi Arabia,32175224.0,1239075200000.0,38510.2276211037,77.31,,5.589
ZAF,2022,Winter,0.0,0.0,0.0,0.0,0,South Africa,62378410.0,406920004594.074,6523.41097815853,65.454,,33.268
SYR,2022,Winter,0.0,0.0,0.0,0.0,0,Syrian Arab Republic,22462173.0,23622827079.5047,1051.67149587463,72.79,,13.268
THA,2022,Winter,0.0,0.0,0.0,0.0,0,Thailand,71735329.0,495644697587.661,6909.35281815827,75.291,91.0999984741211,0.94
TUN,2022,Winter,0.0,0.0,0.0,0.0,0,Tunisia,12119334.0,44948769171.285,3708.8481241036,76.05,,15.3
TUR,2022,Winter,0.0,0.0,0.0,0.0,0,Turkiye,84979913.0,907118434653.505,10674.504157865,77.591,,10.465
TKM,2022,Winter,0.0,0.0,0.0,0.0,0,Turkmenistan,7230193.0,58972000000.0,8156.35211950774,69.913,99.9000015258789,4.109
UGA,2022,Winter,0.0,0.0,0.0,0.0,0,Uganda,47312719.0,45565333216.4142,963.067314233497,67.675,,2.886
UZB,2022,Winter,0.0,0.0,0.0,0.0,0,Uzbekistan,34938955.0,90095926567.4359,2578.66689394219,72.147,100.0,4.49
VEN,2022,Winter,0.0,0.0,0.0,0.0,0,"Venezuela, RB",28213017.0,,,72.566,,5.707
LIE,2022,Winter,0.0,0.0,0.0,0.0,0,Liechtenstein,39493.0,7378156576.2354,186821.881757157,84.1219512195122,,
DZA,2022,Winter,0.0,0.0,0.0,0.0,0,Algeria,45477389.0,225638456572.143,4961.55257664733,76.129,,12.346
BDI,2022,Winter,0.0,0.0,0.0,0.0,0,Burundi,13321097.0,3338722827.65691,250.634225368744,62.882,,0.915
SGP,2022,Winter,0.0,0.0,0.0,0.0,0,Singapore,5637022.0,509017841146.557,90299.0694637269,82.8951219512195,,3.591
TJK,2022,Winter,0.0,0.0,0.0,0.0,0,Tajikistan,10182222.0,10713525200.3998,1052.17949484894,71.562,,11.634
TTO,2022,Winter,0.0,0.0,0.0,0.0,0,Trinidad and Tobago,1365805.0,28510328245.1372,20874.37682915,73.331,,4.383
ARE,2022,Winter,0.0,0.0,0.0,0.0,0,United Arab Emirates,10074977.0,502731935194.01,49899.0652975197,80.487,98.2900009155273,2.872
VNM,2022,Winter,0.0,0.0,0.0,0.0,0,Viet Nam,99680655.0,413445230668.578,4147.69777213621,74.502,96.129997253418,1.523
AFG,2022,Winter,0.0,0.0,0.0,0.0,0,Afghanistan,40578842.0,14497243872.1337,357.261152798144,65.617,,14.1
CMR,2022,Winter,0.0,0.0,0.0,0.0,0,Cameroon,27632771.0,44347206072.5513,1604.87726954895,62.443,,3.653
CYP,2022,Winter,0.0,0.0,0.0,0.0,0,Cyprus,1331370.0,30935566076.6788,33894.44921875,80.434,,6.806
GAB,2022,Winter,0.0,0.0,0.0,0.0,0,Gabon,2430747.0,20440655695.229,8409.20741452279,67.713,,20.399
GTM,2022,Winter,0.0,0.0,0.0,0.0,0,Guatemala,17847877.0,95641441234.943,5358.70127494396,71.206,83.0299987792969,3.051
MNE,2022,Winter,0.0,0.0,0.0,0.0,0,Montenegro,623591.0,6229801580.79157,9990.20444616996,76.1878048780488,,14.851
