country,year,games_type,iso3,actual_medals,predicted_medals,predicted_proba,error,abs_error
Lithuania,2020,Summer,LTU,1.0,5.408547401428223,0.9557073,-4.408547401428223,4.408547401428223
Malaysia,2020,Summer,MYS,2.0,3.4937784671783447,0.95991415,-1.4937784671783447,1.4937784671783447
Mexico,2020,Summer,MEX,4.0,12.806355476379395,0.981236,-8.806355476379395,8.806355476379395
Moldova,2020,Summer,MDA,1.0,0.0,0.07670496,1.0,1.0
Mongolia,2020,Summer,MNG,4.0,0.0,0.59959656,4.0,4.0
Morocco,2020,Summer,MAR,1.0,9.707633018493652,0.97842854,-8.707633018493652,8.707633018493652
Namibia,2020,Summer,NAM,1.0,0.0,0.34339938,1.0,1.0
Niger,2020,Summer,NGA,2.0,0.0,0.5277165,2.0,2.0
Nigeria,2020,Summer,NGA,2.0,4.429601669311523,0.883575,-2.4296016693115234,2.4296016693115234
North Macedonia,2020,Summer,MKD,1.0,3.104853391647339,0.77302563,-2.104853391647339,2.104853391647339
Philippines,2020,Summer,PHL,4.0,14.407444953918457,0.90974474,-10.407444953918457,10.407444953918457
Portugal,2020,Summer,PRT,4.0,5.582836151123047,0.94567955,-1.5828361511230469,1.5828361511230469
,2020,Summer,PRI,1.0,0.0,0.49708807,1.0,1.0
Qatar,2020,Summer,QAT,3.0,0.0,0.6909346,3.0,3.0
Romania,2020,Summer,ROU,4.0,13.17928695678711,0.92207724,-9.17928695678711,9.17928695678711
San Marino,2020,Summer,SMR,3.0,0.0,0.01422042,3.0,3.0
Saudi Arabia,2020,Summer,SAU,1.0,10.435588836669922,0.9696261,-9.435588836669922,9.435588836669922
South Africa,2020,Summer,ZAF,3.0,8.560457229614258,0.9758611,-5.560457229614258,5.560457229614258
Syrian Arab Republic,2020,Summer,SYR,1.0,9.463991165161133,0.85446703,-8.463991165161133,8.463991165161133
Thailand,2020,Summer,THA,2.0,2.1942543983459473,0.9771035,-0.19425439834594727,0.19425439834594727
Tunisia,2020,Summer,TUN,2.0,8.218005180358887,0.96059805,-6.218005180358887,6.218005180358887
Turkiye,2020,Summer,TUR,13.0,51.049110412597656,0.9953811,-38.049110412597656,38.049110412597656
